Date,Close/Last,Volume,Open,High,Low
09/10/2024,$901.25,1930385,$914.11,$915.11,$895.0001
09/09/2024,$908.27,2405908,$912.57,$915.4299,$895.915
09/06/2024,$902.71,3439999,$917.76,$927.9022,$893.00
09/05/2024,$912.75,3201148,$941.16,$943.00,$906.17
09/04/2024,$946.31,1891673,$949.75,$954.00,$938.005
09/03/2024,$956.53,2529442,$957.77,$969.6499,$951.5801
08/30/2024,$960.02,2555073,$945.00,$961.00,$940.51
08/29/2024,$940.20,1762847,$955.00,$957.515,$936.00
08/28/2024,$948.94,1701760,$954.15,$958.3399,$943.26
08/27/2024,$954.48,2912853,$952.50,$972.48,$949.95
08/26/2024,$950.53,2166043,$949.20,$955.00,$942.77
08/23/2024,$952.74,2063309,$955.44,$960.50,$943.11
08/22/2024,$954.17,3183727,$951.98,$972.53,$948.135
08/21/2024,$951.97,2616984,$955.615,$956.50,$939.17
08/20/2024,$949.97,4961498,$932.10,$967.00,$930.51
08/19/2024,$921.81,2374554,$922.12,$926.00,$916.5001
08/16/2024,$922.12,2364894,$928.39,$936.2969,$919.39
08/15/2024,$931.58,3079984,$936.00,$937.955,$920.00
08/14/2024,$931.68,3562910,$910.00,$934.38,$903.79
08/13/2024,$908.05,3506767,$894.08,$914.6943,$890.33
08/12/2024,$884.38,4206064,$904.21,$904.72,$883.00
08/09/2024,$891.68,6587628,$860.00,$908.49,$860.00
08/08/2024,$845.31,9434851,$875.00,$877.78,$825.24
08/07/2024,$772.14,4407687,$778.30,$786.58,$763.0201
08/06/2024,$793.18,3437567,$789.14,$806.2735,$785.00
08/05/2024,$775.26,4661810,$758.00,$792.9399,$747.55
08/02/2024,$804.46,3515933,$816.67,$820.19,$787.02
08/01/2024,$832.44,4060732,$833.62,$840.89,$820.18
07/31/2024,$804.27,2961662,$800.17,$811.14,$792.0901
07/30/2024,$790.21,3848581,$815.18,$821.90,$775.81
07/29/2024,$807.79,2473684,$814.01,$824.77,$804.00
07/26/2024,$804.62,4173942,$811.87,$822.01,$801.30
07/25/2024,$821.19,5467973,$847.00,$851.62,$806.38
07/24/2024,$859.88,2726144,$872.50,$878.34,$854.27
07/23/2024,$878.29,2087749,$870.00,$887.72,$864.08
07/22/2024,$865.97,2904548,$864.80,$874.42,$856.82
07/19/2024,$857.47,3782167,$867.66,$880.21,$853.00
07/18/2024,$848.90,7649625,$907.03,$909.87,$836.66
07/17/2024,$905.59,4200582,$910.01,$925.00,$902.64
