Date,Close/Last,Volume,Open,High,Low
09/10/2024,$129.78,2246709,$129.23,$130.12,$128.40
09/09/2024,$131.91,1881805,$132.03,$132.94,$130.91
09/06/2024,$131.14,2591817,$133.76,$134.16,$130.57
09/05/2024,$130.89,2883491,$132.01,$132.66,$130.53
09/04/2024,$134.53,1811597,$134.04,$134.91,$133.63
09/03/2024,$136.26,2309750,$138.56,$138.62,$135.83
08/30/2024,$139.16,2718338,$138.21,$139.735,$137.85
08/29/2024,$137.52,2754942,$136.47,$137.88,$135.7419
08/28/2024,$134.48,2765436,$134.66,$135.17,$134.10
08/27/2024,$135.18,2124429,$133.91,$135.50,$133.77
08/26/2024,$135.30,1781087,$135.24,$135.7199,$134.62
08/23/2024,$136.97,2112195,$136.57,$137.145,$135.92
08/22/2024,$136.88,2723769,$137.33,$138.49,$136.11
08/21/2024,$134.96,2410507,$135.35,$135.57,$133.38
08/20/2024,$135.81,2106872,$135.19,$136.34,$134.535
08/19/2024,$135.25,1681766,$135.07,$136.13,$134.95
08/16/2024,$134.89,2111269,$135.40,$135.67,$134.66
08/15/2024,$137.57,2916109,$136.61,$137.69,$135.545
08/14/2024,$134.42,1967949,$132.70,$134.85,$132.24
08/13/2024,$133.57,3343413,$131.56,$134.25,$131.56
08/12/2024,$129.89,3602690,$131.57,$132.03,$129.55
08/09/2024,$133.47,7503650,$130.44,$134.65,$130.21
08/08/2024,$128.17,10281320,$125.89,$128.34,$123.21
08/07/2024,$119.23,13899860,$122.69,$123.62,$118.80
08/06/2024,$130.12,6994281,$128.75,$131.27,$128.28
08/05/2024,$126.00,5888813,$123.885,$127.42,$122.73
08/02/2024,$127.49,4774033,$129.78,$130.13,$126.85
08/01/2024,$132.46,3669049,$132.05,$134.34,$131.10
07/31/2024,$132.63,3580362,$132.75,$132.89,$131.64
07/30/2024,$129.23,4388093,$131.10,$131.67,$127.59
07/29/2024,$128.05,3093983,$128.01,$129.5295,$127.38
07/26/2024,$126.73,3179137,$126.86,$128.26,$126.36
07/25/2024,$127.86,5326126,$129.10,$129.98,$126.35
07/24/2024,$131.60,2663352,$132.50,$132.90,$130.92
07/23/2024,$133.28,2383245,$133.56,$134.67,$133.02
07/22/2024,$133.18,3720422,$132.003,$133.26,$131.85
07/19/2024,$131.54,4319544,$132.61,$133.50,$131.30
07/18/2024,$129.99,9758249,$134.94,$134.97,$126.83
07/17/2024,$135.42,6703784,$136.41,$136.62,$134.43
07/16/2024,$140.87,2221103,$142.00,$142.23,$140.61
07/15/2024,$141.39,2434117,$143.25,$143.49,$141.07
07/12/2024,$142.08,2877642,$141.75,$143.4899,$141.63
07/11/2024,$139.79,3837819,$142.27,$142.53,$138.80
07/10/2024,$142.74,3045219,$139.85,$142.79,$139.6821
07/09/2024,$140.43,4584970,$140.75,$141.29,$139.07
07/08/2024,$143.07,2909444,$142.28,$143.69,$142.18
07/05/2024,$142.37,3664490,$140.41,$142.86,$140.3509
07/03/2024,$138.87,7455753,$141.34,$141.52,$136.01
07/02/2024,$142.98,6594458,$141.69,$143.37,$139.03
07/01/2024,$145.42,3435776,$143.59,$145.99,$143.56
06/28/2024,$142.74,2757544,$144.66,$145.59,$142.67
06/27/2024,$144.49,2592441,$143.86,$145.36,$143.43
06/26/2024,$143.67,4384515,$145.56,$145.6193,$142.7941
06/25/2024,$146.91,6341691,$145.51,$148.15,$144.68
06/24/2024,$142.28,2992090,$141.87,$142.66,$141.51
06/21/2024,$141.96,3033303,$141.46,$142.56,$141.21
06/20/2024,$140.99,3205591,$141.51,$143.59,$140.81
06/18/2024,$140.80,2640226,$141.06,$141.71,$139.78
06/17/2024,$140.37,3164448,$142.00,$142.13,$140.34
06/14/2024,$142.50,2831653,$142.21,$143.18,$141.89
06/13/2024,$142.49,2857184,$142.83,$142.91,$141.14
06/12/2024,$143.26,3242786,$143.52,$144.50,$142.00
06/11/2024,$141.79,4433332,$141.91,$142.94,$141.02
06/10/2024,$143.63,3655019,$142.115,$143.94,$141.25
06/07/2024,$142.88,3511197,$143.07,$143.73,$142.27
06/06/2024,$142.40,4369174,$141.19,$142.94,$140.8901
06/05/2024,$141.00,3786730,$141.36,$142.4095,$140.08
06/04/2024,$139.92,5071172,$136.44,$140.00,$135.78
06/03/2024,$135.62,4496711,$133.85,$136.69,$133.68
05/31/2024,$135.28,3446348,$135.04,$135.86,$133.7601
05/30/2024,$132.80,2759864,$133.89,$134.58,$132.78
05/29/2024,$132.68,3169150,$132.35,$133.14,$132.06
