Date,Close/Last,Volume,Open,High,Low
09/10/2024,$177.79,6396311,$175.91,$177.94,$175.91
09/09/2024,$176.06,6450204,$175.54,$176.84,$174.66
09/06/2024,$175.59,5785684,$175.76,$177.04,$175.34
09/05/2024,$175.47,6061865,$175.99,$176.55,$174.67
09/04/2024,$175.90,7517526,$173.63,$176.00,$173.63
09/03/2024,$174.52,10101420,$171.03,$175.00,$170.99
08/30/2024,$171.54,7301617,$170.16,$171.88,$169.69
08/29/2024,$170.03,4413165,$169.75,$170.60,$168.94
08/28/2024,$169.06,5645040,$169.42,$171.20,$168.58
08/27/2024,$169.25,4456635,$170.83,$171.10,$169.08
08/26/2024,$170.35,6472417,$168.695,$170.97,$168.695
08/23/2024,$169.17,4771267,$170.05,$170.11,$168.25
08/22/2024,$170.15,4097382,$170.88,$171.24,$169.14
08/21/2024,$170.16,4082026,$170.19,$171.89,$169.60
08/20/2024,$170.41,4513600,$168.77,$170.56,$168.11
08/19/2024,$168.42,3885315,$168.18,$169.235,$168.17
08/16/2024,$167.89,5640925,$167.82,$168.35,$166.80
08/15/2024,$167.92,9491625,$169.46,$169.68,$166.75
08/14/2024,$168.80,5476675,$166.50,$169.47,$165.82
08/13/2024,$167.29,3770007,$167.34,$167.80,$166.46
08/12/2024,$166.81,7208103,$169.40,$169.65,$166.20
08/09/2024,$170.54,5377378,$170.12,$171.26,$169.65
08/08/2024,$170.87,6386941,$169.42,$171.56,$169.00
08/07/2024,$170.02,8385546,$168.57,$171.72,$168.01
08/06/2024,$168.09,7454869,$167.90,$170.33,$167.85
08/05/2024,$168.06,10338770,$170.88,$170.88,$166.67
08/02/2024,$170.08,11899040,$167.44,$170.35,$165.15
08/01/2024,$165.69,12532700,$160.88,$166.305,$160.68
07/31/2024,$160.76,9660902,$160.81,$162.86,$159.21
07/30/2024,$161.70,15746250,$161.79,$162.38,$158.04
07/29/2024,$169.93,6797832,$168.85,$170.5399,$168.11
07/26/2024,$169.11,5581557,$167.25,$169.32,$167.03
07/25/2024,$166.90,7338521,$168.32,$170.085,$166.87
07/24/2024,$168.00,5906992,$166.32,$168.28,$165.575
07/23/2024,$166.62,4863398,$168.11,$168.4199,$166.32
07/22/2024,$168.25,6383031,$167.93,$168.70,$167.70
07/19/2024,$167.96,6597090,$167.97,$169.035,$167.13
07/18/2024,$168.44,5926346,$168.80,$170.92,$168.28
07/17/2024,$169.44,7982328,$167.75,$170.17,$167.33
07/16/2024,$166.95,6378312,$164.91,$167.07,$164.61
07/15/2024,$164.58,5752513,$166.47,$166.615,$164.46
07/12/2024,$166.61,4684642,$166.22,$167.64,$166.02
07/11/2024,$165.54,5833061,$166.30,$166.63,$164.78
07/10/2024,$166.80,5037097,$165.90,$166.92,$165.54
07/09/2024,$165.66,4393179,$166.63,$166.759,$165.14
07/08/2024,$166.52,5144458,$165.95,$166.6734,$165.62
07/05/2024,$165.21,6509248,$164.01,$165.625,$163.50
07/03/2024,$163.83,2980461,$163.21,$164.21,$162.975
07/02/2024,$163.90,5449219,$162.58,$164.04,$161.71
07/01/2024,$162.72,7638639,$165.59,$166.21,$162.20
06/28/2024,$164.92,9253317,$166.00,$167.24,$164.58
06/27/2024,$166.62,5006990,$167.49,$168.10,$165.50
06/26/2024,$167.45,5164046,$166.05,$167.81,$165.66
06/25/2024,$166.85,8323968,$168.63,$168.9075,$165.90
06/24/2024,$168.45,7565304,$168.76,$169.41,$167.48
06/21/2024,$168.26,14682060,$167.48,$168.88,$167.18
06/20/2024,$167.67,8483606,$168.37,$168.78,$166.86
06/18/2024,$168.56,5112634,$167.03,$168.65,$166.94
06/17/2024,$167.50,6759352,$165.85,$168.71,$165.40
06/14/2024,$166.79,3694974,$165.99,$166.93,$165.25
06/13/2024,$166.41,4902180,$164.47,$167.00,$164.47
06/12/2024,$165.18,5474498,$167.50,$167.64,$164.2209
06/11/2024,$167.48,3947671,$166.97,$167.50,$166.02
06/10/2024,$167.35,4110668,$166.78,$167.715,$166.08
06/07/2024,$167.06,4558190,$168.40,$168.97,$166.84
06/06/2024,$168.47,6302243,$165.83,$168.58,$165.08
06/05/2024,$166.05,5243345,$167.01,$167.01,$164.98
06/04/2024,$167.01,6277001,$164.79,$167.12,$164.40
06/03/2024,$164.65,5828442,$163.93,$166.24,$163.63
05/31/2024,$164.54,10341640,$162.44,$164.77,$161.97
05/30/2024,$162.58,4756454,$161.65,$162.70,$161.48
05/29/2024,$161.65,4360383,$162.65,$162.74,$161.42
05/28/2024,$163.11,6466193,$164.49,$164.755,$162.26
05/24/2024,$165.33,3820090,$165.85,$166.31,$165.15
05/23/2024,$165.49,4729792,$167.29,$168.11,$165.32
05/22/2024,$167.81,4536733,$168.01,$168.425,$167.6268
05/21/2024,$168.35,5147065,$167.76,$168.535,$167.2902
05/20/2024,$167.31,3804823,$167.55,$167.88,$166.7905
05/17/2024,$167.64,4700819,$167.67,$168.00,$166.88
05/16/2024,$167.86,6793672,$166.93,$168.34,$166.59
05/15/2024,$166.51,5102897,$165.31,$166.68,$165.12
05/14/2024,$165.76,6009837,$165.53,$166.07,$163.95
05/13/2024,$165.87,5725523,$166.85,$167.65,$165.36
05/10/2024,$166.85,4879427,$166.09,$167.36,$165.70
05/09/2024,$166.04,4671126,$165.05,$166.33,$165.05
05/08/2024,$165.07,4579471,$165.98,$166.37,$164.93
05/07/2024,$165.76,6433090,$164.98,$166.04,$164.59
05/06/2024,$164.44,5472549,$164.78,$164.98,$163.2629
05/03/2024,$164.46,5581692,$163.54,$164.71,$162.16
05/02/2024,$163.84,5647490,$163.54,$164.49,$162.6401
05/01/2024,$163.40,7543154,$163.28,$164.24,$162.22
04/30/2024,$163.20,8106098,$161.84,$163.35,$161.60
04/29/2024,$161.66,4622164,$161.17,$161.79,$160.41
04/26/2024,$161.29,5659784,$162.50,$163.32,$160.49
04/25/2024,$162.55,7094620,$162.97,$164.32,$162.08
04/24/2024,$162.60,7217563,$161.20,$162.86,$159.42
04/23/2024,$161.50,7707250,$161.68,$162.10,$160.415
04/22/2024,$160.54,8926327,$158.43,$161.285,$157.2525
04/19/2024,$158.14,12034190,$154.98,$158.175,$153.52
04/18/2024,$157.29,7819261,$156.34,$157.63,$155.96
04/17/2024,$156.96,6621906,$156.30,$157.115,$155.74
04/16/2024,$155.95,6103296,$155.85,$156.94,$155.665
04/15/2024,$155.45,5753987,$156.42,$156.82,$155.33
04/12/2024,$155.33,6770659,$155.22,$155.97,$154.74
04/11/2024,$155.84,8209765,$157.55,$157.60,$155.77
04/10/2024,$157.24,7785084,$155.65,$157.58,$155.65
04/09/2024,$156.66,4613751,$156.27,$156.75,$155.70
04/08/2024,$156.04,5476752,$155.97,$156.70,$155.63
04/05/2024,$156.10,5121197,$155.29,$157.06,$154.69
04/04/2024,$155.45,6801662,$156.88,$157.08,$155.41
04/03/2024,$156.15,9601812,$160.63,$160.88,$155.68
04/02/2024,$160.57,6771395,$159.64,$160.71,$159.64
04/01/2024,$160.58,5971857,$161.78,$162.07,$159.80
03/28/2024,$162.25,7191571,$162.82,$163.14,$161.70
03/27/2024,$162.61,6599711,$161.36,$162.74,$161.34
03/26/2024,$160.55,5842850,$160.36,$161.14,$160.14
03/25/2024,$160.19,7145692,$161.17,$161.66,$159.73
03/22/2024,$161.66,6393425,$162.20,$162.41,$161.47
03/21/2024,$161.86,5211676,$162.09,$162.46,$161.115
03/20/2024,$161.99,4870296,$162.01,$162.398,$161.47
03/19/2024,$161.83,6148240,$161.80,$162.17,$161.17
03/18/2024,$161.21,6086268,$161.48,$162.72,$161.00
03/15/2024,$161.38,10956890,$160.70,$161.50,$160.3033
03/14/2024,$161.50,5848057,$162.24,$162.62,$161.13
03/13/2024,$162.30,5410679,$162.38,$162.73,$161.33
03/12/2024,$161.93,4229060,$161.82,$162.52,$161.23
03/11/2024,$161.55,5171060,$161.34,$162.62,$160.815
03/08/2024,$160.35,5080225,$159.85,$161.245,$158.29
03/07/2024,$160.62,4783943,$159.95,$160.91,$159.47
03/06/2024,$159.57,5405719,$159.68,$159.99,$158.91
03/05/2024,$159.32,4481715,$159.46,$159.99,$158.78
03/04/2024,$159.56,3841623,$157.74,$159.76,$157.67
03/01/2024,$158.85,4819929,$158.05,$159.03,$157.61
02/29/2024,$158.94,8348201,$159.93,$160.11,$158.18
02/28/2024,$160.05,3802915,$159.065,$160.12,$158.64
02/27/2024,$159.30,3868405,$159.41,$159.80,$158.9613
02/26/2024,$160.22,4531936,$161.025,$161.17,$160.07
02/23/2024,$161.03,5486533,$160.60,$161.74,$160.16
02/22/2024,$160.56,6619639,$159.46,$161.0901,$158.63
02/21/2024,$160.40,7121116,$159.19,$160.40,$159.19
02/20/2024,$158.51,6622058,$158.70,$159.79,$158.13
02/16/2024,$157.51,6617706,$157.04,$158.45,$156.67
