Date,Close/Last,Volume,Open,High,Low
09/10/2024,$110.82,20913410,$115.10,$115.40,$110.17
09/09/2024,$115.01,21645330,$112.87,$116.15,$112.66
09/06/2024,$112.64,13467750,$113.59,$114.18,$111.732
09/05/2024,$113.17,17200770,$115.07,$115.28,$113.07
09/04/2024,$114.06,12620580,$115.29,$116.15,$113.975
09/03/2024,$115.47,15725140,$115.84,$116.09,$114.04
08/30/2024,$117.94,13284690,$116.79,$118.02,$116.29
08/29/2024,$118.13,10753900,$117.20,$118.79,$116.35
08/28/2024,$116.52,10742870,$117.00,$117.58,$116.26
08/27/2024,$117.68,9991631,$118.96,$119.41,$117.40
08/26/2024,$118.81,13671020,$117.76,$118.94,$116.92
08/23/2024,$116.32,10381430,$115.025,$116.72,$115.025
08/22/2024,$114.73,10609500,$113.78,$115.01,$113.635
08/21/2024,$113.85,11752360,$115.01,$115.57,$113.76
08/20/2024,$114.58,15631970,$118.65,$118.65,$114.51
08/19/2024,$118.53,12417470,$118.40,$120.50,$118.17
08/16/2024,$118.17,10056020,$117.99,$118.48,$117.66
08/15/2024,$118.73,11579430,$118.25,$119.63,$118.12
08/14/2024,$118.95,12194520,$118.10,$119.90,$117.63
08/13/2024,$117.86,11585070,$118.275,$118.51,$117.50
08/12/2024,$119.00,13228910,$119.55,$120.1699,$118.02
08/09/2024,$118.85,12151870,$117.885,$119.31,$117.36
08/08/2024,$117.89,13850990,$116.08,$118.105,$115.73
08/07/2024,$115.68,13660660,$115.45,$117.119,$115.26
08/06/2024,$114.16,13647780,$114.45,$115.63,$113.63
08/05/2024,$114.77,18025860,$115.54,$116.03,$113.25
08/02/2024,$116.88,20403770,$115.97,$118.87,$115.42
08/01/2024,$116.95,15051480,$118.35,$119.49,$116.36
07/31/2024,$118.59,15137710,$119.64,$119.76,$118.56
07/30/2024,$118.17,12483860,$116.36,$118.595,$116.23
07/29/2024,$116.10,8861806,$117.32,$117.39,$115.38
07/26/2024,$117.33,11252480,$116.77,$118.03,$116.47
07/25/2024,$117.43,17021700,$115.17,$118.03,$114.56
07/24/2024,$115.01,14925180,$113.765,$115.20,$113.065
07/23/2024,$113.41,11251730,$114.81,$115.17,$113.17
07/22/2024,$115.27,12065880,$115.18,$115.94,$114.58
07/19/2024,$116.07,16157710,$118.59,$118.8793,$115.87
07/18/2024,$118.80,13033560,$117.95,$119.92,$117.435
07/17/2024,$117.64,13602770,$116.74,$118.175,$116.55
07/16/2024,$116.04,13614050,$114.35,$116.35,$113.71
07/15/2024,$115.21,13032500,$114.27,$116.16,$113.575
07/12/2024,$113.27,11684950,$113.99,$114.15,$112.63
07/11/2024,$113.25,13084880,$111.43,$113.315,$110.93
07/10/2024,$111.92,10004090,$110.92,$111.96,$110.42
07/09/2024,$110.94,11729090,$111.11,$112.54,$110.62
07/08/2024,$112.18,13350550,$112.39,$113.55,$111.42
07/05/2024,$113.37,12630990,$114.61,$114.63,$112.685
07/03/2024,$114.76,7732928,$114.27,$115.66,$114.27
07/02/2024,$114.18,13326700,$115.90,$115.94,$113.49
07/01/2024,$114.96,11972880,$115.71,$116.74,$114.53
06/28/2024,$115.12,24565910,$115.86,$116.54,$114.675
06/27/2024,$114.90,16812730,$114.99,$114.99,$114.11
06/26/2024,$114.41,15771750,$114.39,$114.815,$113.14
06/25/2024,$114.37,16213680,$114.11,$114.55,$113.455
06/24/2024,$114.05,16266690,$111.64,$114.525,$111.64
06/21/2024,$110.76,52220570,$111.90,$112.695,$110.76
06/20/2024,$111.74,17433190,$109.91,$112.62,$109.59
06/18/2024,$109.38,17762920,$109.03,$110.72,$108.80
06/17/2024,$108.36,21147940,$109.17,$109.46,$108.18
06/14/2024,$109.11,13313430,$110.02,$110.207,$108.59
06/13/2024,$110.04,14466870,$110.84,$110.86,$109.72
06/12/2024,$110.93,13606790,$113.30,$113.30,$110.54
06/11/2024,$112.17,12462400,$112.49,$112.6701,$111.31
06/10/2024,$113.08,15245230,$113.06,$114.2199,$112.70
06/07/2024,$112.75,13289200,$113.79,$114.895,$112.6735
06/06/2024,$113.97,13154090,$112.75,$114.04,$112.11
06/05/2024,$113.12,14863520,$112.89,$113.19,$111.48
06/04/2024,$112.67,19412240,$113.00,$113.09,$110.92
06/03/2024,$114.45,19589340,$116.30,$116.36,$113.76
